episode, steps, accumulated_reward
343, 1177, 46.1539012452757
344, 1170, 20.0701832735423
345, 1336, 411.633276108145
346, 1189, 34.2083164252829
347, 1331, 487.398122296247
348, 1181, 22.60502066644
349, 1214, -25.0907755767613
350, 1171, -33.3950522996166
351, 1159, -33.3803484994212
352, 1124, -22.1910430381316
353, 1189, -19.803858263193
354, 1207, -17.4540239489469
355, 1198, -44.7726730568376
356, 1254, -24.5090408807151
357, 1299, -35.9004225830984
358, 1217, -39.7618112247575
359, 1248, -56.827067088287
360, 1300, -43.9615388382176
361, 1335, -44.0902350040844
362, 1329, -62.2481693371759
363, 1204, -58.0991219433121
364, 1286, -44.6386275407298
365, 1290, -48.0745294498314
366, 1287, -38.0742707167316
367, 1266, -38.469554440196
368, 1247, -35.2001204770291
369, 1262, -33.2750655285064
370, 1288, -19.6506782868513
371, 1279, -34.009991296404
372, 1313, -35.3800090045485
373, 1325, -25.1970243455486
374, 1296, -26.4769819026972
375, 1291, -37.5219493319404
376, 1291, -35.2967565151033
377, 1305, -35.7573934665879
378, 1331, -34.1918547002982
379, 1342, -24.2473339005861
380, 1334, -40.6088814836268
381, 1330, -13.0556482505692
382, 1328, -38.1667997782829
383, 1344, -30.7497837868896
384, 1336, -51.1102132947305
385, 1289, -61.3816123987297
386, 1277, -63.0624901175089
387, 1285, -56.3548344873439
388, 1319, -46.3756495219922
389, 1285, -51.1073307770657
390, 1225, -59.8255075063244
391, 1278, -55.7703024057693
392, 1293, -46.8761496593892
393, 1285, -50.8269203407296
394, 1319, -46.705243702133
395, 1298, -36.9384424828357
396, 1327, -26.8153648118769
